method	k1	b	MAP
bm25	0.5	0.1	0.2423
bm25	0.5	0.15	0.2448
bm25	0.5	0.2	0.247
bm25	0.5	0.25	0.2476
bm25	0.5	0.3	0.2474
bm25	0.5	0.35	0.2477
bm25	0.5	0.4	0.248
bm25	0.5	0.45	0.2468
bm25	0.5	0.5	0.2453
bm25	0.5	0.55	0.2451
bm25	0.5	0.6	0.245
bm25	0.5	0.65	0.2449
bm25	0.5	0.7	0.2439
bm25	0.5	0.75	0.2422
bm25	0.5	0.8	0.2398
bm25	0.5	0.85	0.2375
bm25	0.5	0.9	0.235
bm25	0.6	0.1	0.2433
bm25	0.6	0.15	0.2454
bm25	0.6	0.2	0.2471
bm25	0.6	0.25	0.2482
bm25	0.6	0.3	0.2476
bm25	0.6	0.35	0.2478
bm25	0.6	0.4	0.2482
bm25	0.6	0.45	0.2473
bm25	0.6	0.5	0.2456
bm25	0.6	0.55	0.2449
bm25	0.6	0.6	0.2449
bm25	0.6	0.65	0.2441
bm25	0.6	0.7	0.2425
bm25	0.6	0.75	0.2412
bm25	0.6	0.8	0.2392
bm25	0.6	0.85	0.2379
bm25	0.6	0.9	0.235
bm25	0.7	0.1	0.243
bm25	0.7	0.15	0.2463
bm25	0.7	0.2	0.2473
bm25	0.7	0.25	0.2486
bm25	0.7	0.3	0.2478
bm25	0.7	0.35	0.2478
bm25	0.7	0.4	0.2485
bm25	0.7	0.45	0.2475
bm25	0.7	0.5	0.2466
bm25	0.7	0.55	0.2438
bm25	0.7	0.6	0.2435
bm25	0.7	0.65	0.2432
bm25	0.7	0.7	0.2425
bm25	0.7	0.75	0.241
bm25	0.7	0.8	0.2388
bm25	0.7	0.85	0.2374
bm25	0.7	0.9	0.2342
bm25	0.8	0.1	0.2426
bm25	0.8	0.15	0.2462
bm25	0.8	0.2	0.2481
bm25	0.8	0.25	0.2482
bm25	0.8	0.3	0.2479
bm25	0.8	0.35	0.2481
bm25	0.8	0.4	0.2488
bm25	0.8	0.45	0.2468
bm25	0.8	0.5	0.2454
bm25	0.8	0.55	0.2441
bm25	0.8	0.6	0.2437
bm25	0.8	0.65	0.2429
bm25	0.8	0.7	0.2425
bm25	0.8	0.75	0.2405
bm25	0.8	0.8	0.2386
bm25	0.8	0.85	0.2368
bm25	0.8	0.9	0.2348
bm25	0.9	0.1	0.2424
bm25	0.9	0.15	0.2463
bm25	0.9	0.2	0.2476
bm25	0.9	0.25	0.2483
bm25	0.9	0.3	0.2474
bm25	0.9	0.35	0.2468
bm25	0.9	0.4	0.2468
bm25	0.9	0.45	0.246
bm25	0.9	0.5	0.2454
bm25	0.9	0.55	0.2439
bm25	0.9	0.6	0.2436
bm25	0.9	0.65	0.2428
bm25	0.9	0.7	0.2421
bm25	0.9	0.75	0.2402
bm25	0.9	0.8	0.2376
bm25	0.9	0.85	0.2361
bm25	0.9	0.9	0.2333
bm25	1.0	0.1	0.2422
bm25	1.0	0.15	0.2458
bm25	1.0	0.2	0.2467
bm25	1.0	0.25	0.2477
bm25	1.0	0.3	0.2463
bm25	1.0	0.35	0.2464
bm25	1.0	0.4	0.2461
bm25	1.0	0.45	0.2456
bm25	1.0	0.5	0.2451
bm25	1.0	0.55	0.2433
bm25	1.0	0.6	0.2434
bm25	1.0	0.65	0.2427
bm25	1.0	0.7	0.2414
bm25	1.0	0.75	0.2391
bm25	1.0	0.8	0.2363
bm25	1.0	0.85	0.233
bm25	1.0	0.9	0.2304
bm25	1.1	0.1	0.2419
bm25	1.1	0.15	0.2454
bm25	1.1	0.2	0.2463
bm25	1.1	0.25	0.2458
bm25	1.1	0.3	0.2456
bm25	1.1	0.35	0.2465
bm25	1.1	0.4	0.2455
bm25	1.1	0.45	0.245
bm25	1.1	0.5	0.2447
bm25	1.1	0.55	0.2427
bm25	1.1	0.6	0.2424
bm25	1.1	0.65	0.2415
bm25	1.1	0.7	0.2401
bm25	1.1	0.75	0.2381
bm25	1.1	0.8	0.234
bm25	1.1	0.85	0.2325
bm25	1.1	0.9	0.2296
bm25	1.2	0.1	0.2416
bm25	1.2	0.15	0.245
bm25	1.2	0.2	0.2446
bm25	1.2	0.25	0.2447
bm25	1.2	0.3	0.2449
bm25	1.2	0.35	0.2455
bm25	1.2	0.4	0.246
bm25	1.2	0.45	0.2442
bm25	1.2	0.5	0.2438
bm25	1.2	0.55	0.243
bm25	1.2	0.6	0.241
bm25	1.2	0.65	0.2405
bm25	1.2	0.7	0.2396
bm25	1.2	0.75	0.2358
bm25	1.2	0.8	0.2336
bm25	1.2	0.85	0.2317
bm25	1.2	0.9	0.2275
bm25	1.3	0.1	0.2407
bm25	1.3	0.15	0.2434
bm25	1.3	0.2	0.2433
bm25	1.3	0.25	0.244
bm25	1.3	0.3	0.2442
bm25	1.3	0.35	0.2446
bm25	1.3	0.4	0.2452
bm25	1.3	0.45	0.2434
bm25	1.3	0.5	0.2424
bm25	1.3	0.55	0.2414
bm25	1.3	0.6	0.2403
bm25	1.3	0.65	0.2397
bm25	1.3	0.7	0.2369
bm25	1.3	0.75	0.2356
bm25	1.3	0.8	0.2333
bm25	1.3	0.85	0.23
bm25	1.3	0.9	0.2269
bm25	1.4	0.1	0.2395
bm25	1.4	0.15	0.2421
bm25	1.4	0.2	0.243
bm25	1.4	0.25	0.243
bm25	1.4	0.3	0.2429
bm25	1.4	0.35	0.2438
bm25	1.4	0.4	0.2436
bm25	1.4	0.45	0.2416
bm25	1.4	0.5	0.2417
bm25	1.4	0.55	0.2409
bm25	1.4	0.6	0.2395
bm25	1.4	0.65	0.2373
bm25	1.4	0.7	0.2364
bm25	1.4	0.75	0.2351
bm25	1.4	0.8	0.232
bm25	1.4	0.85	0.2295
bm25	1.4	0.9	0.2261
bm25	1.5	0.1	0.2373
bm25	1.5	0.15	0.2408
bm25	1.5	0.2	0.2415
bm25	1.5	0.25	0.2419
bm25	1.5	0.3	0.2422
bm25	1.5	0.35	0.2424
bm25	1.5	0.4	0.2422
bm25	1.5	0.45	0.2415
bm25	1.5	0.5	0.241
bm25	1.5	0.55	0.2402
bm25	1.5	0.6	0.2369
bm25	1.5	0.65	0.2365
bm25	1.5	0.7	0.2359
bm25	1.5	0.75	0.2341
bm25	1.5	0.8	0.2311
bm25	1.5	0.85	0.2289
bm25	1.5	0.9	0.2257
bm25	1.6	0.1	0.2352
bm25	1.6	0.15	0.2391
bm25	1.6	0.2	0.24
bm25	1.6	0.25	0.241
bm25	1.6	0.3	0.2409
bm25	1.6	0.35	0.2411
bm25	1.6	0.4	0.2412
bm25	1.6	0.45	0.2408
bm25	1.6	0.5	0.2404
bm25	1.6	0.55	0.2401
bm25	1.6	0.6	0.2364
bm25	1.6	0.65	0.2361
bm25	1.6	0.7	0.2343
bm25	1.6	0.75	0.2326
bm25	1.6	0.8	0.2309
bm25	1.6	0.85	0.2292
bm25	1.6	0.9	0.2245
bm25	1.7	0.1	0.2334
bm25	1.7	0.15	0.237
bm25	1.7	0.2	0.2383
bm25	1.7	0.25	0.2391
bm25	1.7	0.3	0.2392
bm25	1.7	0.35	0.2398
bm25	1.7	0.4	0.2404
bm25	1.7	0.45	0.2398
bm25	1.7	0.5	0.2398
bm25	1.7	0.55	0.2374
bm25	1.7	0.6	0.2365
bm25	1.7	0.65	0.2353
bm25	1.7	0.7	0.233
bm25	1.7	0.75	0.2333
bm25	1.7	0.8	0.2311
bm25	1.7	0.85	0.2284
bm25	1.7	0.9	0.2237
bm25	1.8	0.1	0.2319
bm25	1.8	0.15	0.2353
bm25	1.8	0.2	0.2365
bm25	1.8	0.25	0.2361
bm25	1.8	0.3	0.2372
bm25	1.8	0.35	0.2384
bm25	1.8	0.4	0.2389
bm25	1.8	0.45	0.2385
bm25	1.8	0.5	0.2381
bm25	1.8	0.55	0.2365
bm25	1.8	0.6	0.2357
bm25	1.8	0.65	0.233
bm25	1.8	0.7	0.2324
bm25	1.8	0.75	0.2315
bm25	1.8	0.8	0.2304
bm25	1.8	0.85	0.2275
bm25	1.8	0.9	0.2233
bm25	1.9	0.1	0.2302
bm25	1.9	0.15	0.2339
bm25	1.9	0.2	0.235
bm25	1.9	0.25	0.2346
bm25	1.9	0.3	0.2356
bm25	1.9	0.35	0.2368
bm25	1.9	0.4	0.2377
bm25	1.9	0.45	0.2368
bm25	1.9	0.5	0.2348
bm25	1.9	0.55	0.2351
bm25	1.9	0.6	0.2343
bm25	1.9	0.65	0.2323
bm25	1.9	0.7	0.2314
bm25	1.9	0.75	0.2318
bm25	1.9	0.8	0.2295
bm25	1.9	0.85	0.2265
bm25	1.9	0.9	0.2228
bm25	2.0	0.1	0.229
bm25	2.0	0.15	0.2321
bm25	2.0	0.2	0.2334
bm25	2.0	0.25	0.2339
bm25	2.0	0.3	0.2346
bm25	2.0	0.35	0.2353
bm25	2.0	0.4	0.2366
bm25	2.0	0.45	0.2356
bm25	2.0	0.5	0.2338
bm25	2.0	0.55	0.2343
bm25	2.0	0.6	0.2324
bm25	2.0	0.65	0.2306
bm25	2.0	0.7	0.2311
bm25	2.0	0.75	0.2306
bm25	2.0	0.8	0.2281
bm25	2.0	0.85	0.2256
bm25	2.0	0.9	0.2215
