method	numPRD	N	alpha	beta	MAP
lmjm_0.4_rocchio	20	80	1	1	0.2437
lmjm_0.4_rocchio	20	80	1	2	0.2541
lmjm_0.4_rocchio	20	80	1	4	0.2635
lmjm_0.4_rocchio	20	80	1	8	0.2707
lmjm_0.4_rocchio	20	80	1	16	0.2757
lmjm_0.4_rocchio	20	80	1	32	0.276
lmjm_0.4_rocchio	20	80	1	64	0.2727
lmjm_0.4_rocchio	20	80	2	1	0.2372
lmjm_0.4_rocchio	20	80	4	1	0.2342
lmjm_0.4_rocchio	20	80	8	1	0.2323
lmjm_0.4_rocchio	20	80	16	1	0.2316
lmjm_0.4_rocchio	20	80	32	1	0.231
lmjm_0.4_rocchio	20	80	64	1	0.2308
lmjm_0.4_rocchio	20	50	1	1	0.2426
lmjm_0.4_rocchio	20	50	1	2	0.2515
lmjm_0.4_rocchio	20	50	1	4	0.2615
lmjm_0.4_rocchio	20	50	1	8	0.2658
lmjm_0.4_rocchio	20	50	1	16	0.2727
lmjm_0.4_rocchio	20	50	1	32	0.2743
lmjm_0.4_rocchio	20	50	1	64	0.2727
lmjm_0.4_rocchio	20	50	2	1	0.2367
lmjm_0.4_rocchio	20	50	4	1	0.2338
lmjm_0.4_rocchio	20	50	8	1	0.2321
lmjm_0.4_rocchio	20	50	16	1	0.2315
lmjm_0.4_rocchio	20	50	32	1	0.231
lmjm_0.4_rocchio	20	50	64	1	0.2307
lmjm_0.4_rocchio	5	50	1	1	0.2398
lmjm_0.4_rocchio	5	50	1	2	0.2465
lmjm_0.4_rocchio	5	50	1	4	0.2546
lmjm_0.4_rocchio	5	50	1	8	0.2629
lmjm_0.4_rocchio	5	50	1	16	0.2601
lmjm_0.4_rocchio	5	50	1	32	0.2541
lmjm_0.4_rocchio	5	50	1	64	0.2468
lmjm_0.4_rocchio	5	50	2	1	0.2372
lmjm_0.4_rocchio	5	50	4	1	0.2341
lmjm_0.4_rocchio	5	50	8	1	0.2324
lmjm_0.4_rocchio	5	50	16	1	0.2313
lmjm_0.4_rocchio	10	80	1	30	0.273
lmjm_0.4_rocchio	20	80	1	30	0.2753
lmjm_0.4_rocchio	30	80	1	30	0.2789
lmjm_0.4_rocchio	40	80	1	30	0.2783
lmjm_0.4_rocchio	50	80	1	30	0.274
lmjm_0.4_rocchio	10	50	1	30	0.2677
lmjm_0.4_rocchio	20	50	1	30	0.2746
lmjm_0.4_rocchio	30	50	1	30	0.2758
lmjm_0.4_rocchio	40	50	1	30	0.277
lmjm_0.4_rocchio	50	50	1	30	0.2728
lmjm_0.4_rocchio	10	120	1	30	0.2737
lmjm_0.4_rocchio	20	120	1	30	0.2759
lmjm_0.4_rocchio	30	120	1	30	0.2791
lmjm_0.4_rocchio	40	120	1	30	0.2766
lmjm_0.4_rocchio	50	120	1	30	0.2732
lmjm_0.4_rocchio	15	50	1	30	0.273
lmjm_0.4_rocchio	20	50	1	30	0.2746
lmjm_0.4_rocchio	25	50	1	30	0.2752
lmjm_0.4_rocchio	30	50	1	30	0.2758
lmjm_0.4_rocchio	35	50	1	30	0.2819
lmjm_0.4_rocchio	40	50	1	30	0.277
lmjm_0.4_rocchio	45	50	1	30	0.2752
lmjm_0.4_rocchio	10	50	1	30	0.2677
lmjm_0.4_rocchio	20	50	1	30	0.2746
lmjm_0.4_rocchio	30	50	1	30	0.2758
lmjm_0.4_rocchio	40	50	1	30	0.277
lmjm_0.4_rocchio	50	50	1	30	0.2728
lmjm_0.4_rocchio	20	120	1	40	0.275
lmjm_0.4_rocchio	25	120	1	40	0.278
lmjm_0.4_rocchio	30	120	1	40	0.279
lmjm_0.4_rocchio	35	120	1	40	0.2815
lmjm_0.4_rocchio	40	120	1	40	0.2748
lmjm_0.4_rocchio	35	10	1	30	0.2698
lmjm_0.4_rocchio	35	20	1	30	0.2735
lmjm_0.4_rocchio	35	30	1	30	0.28
lmjm_0.4_rocchio	35	40	1	30	0.2793
lmjm_0.4_rocchio	35	50	1	30	0.2819
lmjm_0.4_rocchio	35	60	1	30	0.2815
lmjm_0.4_rocchio	35	70	1	30	0.2824
lmjm_0.4_rocchio	35	80	1	30	0.2827
lmjm_0.4_rocchio	35	90	1	30	0.2825
lmjm_0.4_rocchio	35	100	1	30	0.2831
lmjm_0.4_rocchio	35	110	1	30	0.2826
lmjm_0.4_rocchio	35	120	1	30	0.2825
lmjm_0.4_rocchio	35	130	1	30	0.2819
lmjm_0.4_rocchio	35	140	1	30	0.282
lmjm_0.4_rocchio	35	150	1	30	0.2828
lmjm_0.4_rocchio	35	160	1	30	0.2814
lmjm_0.4_rocchio	35	170	1	30	0.2815
lmjm_0.4_rocchio	35	180	1	30	0.2814
lmjm_0.4_rocchio	35	190	1	30	0.2806
lmjm_0.4_rocchio	35	200	1	30	0.281
lmjm_0.4_rocchio	35	210	1	30	0.2808
lmjm_0.4_rocchio	35	220	1	30	0.2794
lmjm_0.4_rocchio	35	230	1	30	0.2782
lmjm_0.4_rocchio	35	240	1	30	0.279
lmjm_0.4_rocchio	35	250	1	30	0.2788
lmjm_0.4_rocchio	35	260	1	30	0.2789
lmjm_0.4_rocchio	35	270	1	30	0.2784
lmjm_0.4_rocchio	35	280	1	30	0.2793
lmjm_0.4_rocchio	35	290	1	30	0.2793
lmjm_0.4_rocchio	35	300	1	30	0.2773
lmjm_0.4_rocchio	35	10	1	15	0.2701
lmjm_0.4_rocchio	35	20	1	15	0.2775
lmjm_0.4_rocchio	35	30	1	15	0.2769
lmjm_0.4_rocchio	35	40	1	15	0.2784
lmjm_0.4_rocchio	35	50	1	15	0.2787
lmjm_0.4_rocchio	35	60	1	15	0.2788
lmjm_0.4_rocchio	35	70	1	15	0.2795
lmjm_0.4_rocchio	35	80	1	15	0.28
lmjm_0.4_rocchio	35	90	1	15	0.2802
lmjm_0.4_rocchio	35	100	1	15	0.2811
lmjm_0.4_rocchio	35	110	1	15	0.2809
lmjm_0.4_rocchio	35	120	1	15	0.2814
lmjm_0.4_rocchio	35	130	1	15	0.28
lmjm_0.4_rocchio	35	140	1	15	0.2802
lmjm_0.4_rocchio	35	150	1	15	0.2806
lmjm_0.4_rocchio	35	160	1	15	0.2801
lmjm_0.4_rocchio	35	170	1	15	0.2802
lmjm_0.4_rocchio	35	180	1	15	0.2801
lmjm_0.4_rocchio	35	190	1	15	0.2793
lmjm_0.4_rocchio	35	200	1	15	0.2794
lmjm_0.4_rocchio	35	210	1	15	0.279
lmjm_0.4_rocchio	35	220	1	15	0.279
lmjm_0.4_rocchio	35	230	1	15	0.2785
lmjm_0.4_rocchio	35	240	1	15	0.2785
lmjm_0.4_rocchio	35	250	1	15	0.2791
lmjm_0.4_rocchio	35	260	1	15	0.2792
lmjm_0.4_rocchio	35	270	1	15	0.2798
lmjm_0.4_rocchio	35	280	1	15	0.2798
lmjm_0.4_rocchio	35	290	1	15	0.2789
lmjm_0.4_rocchio	35	300	1	15	0.2786
lmjm_0.4_rocchio	35	50	1	45	0.2808
lmjm_0.4_rocchio	35	60	1	45	0.2802
lmjm_0.4_rocchio	35	70	1	45	0.2815
lmjm_0.4_rocchio	35	80	1	45	0.2817
lmjm_0.4_rocchio	35	90	1	45	0.2804
lmjm_0.4_rocchio	35	100	1	45	0.2811
lmjm_0.4_rocchio	35	110	1	45	0.2811
lmjm_0.4_rocchio	35	120	1	45	0.2806
lmjm_0.4_rocchio	35	130	1	45	0.2798
lmjm_0.4_rocchio	35	140	1	45	0.2797
lmjm_0.4_rocchio	35	150	1	45	0.2811
lmjm_0.4_rocchio	35	160	1	45	0.2795
lmjm_0.4_rocchio	35	170	1	45	0.2798
lmjm_0.4_rocchio	35	180	1	45	0.2798
lmjm_0.4_rocchio	35	50	1	10	0.2796
lmjm_0.4_rocchio	35	50	1	20	0.2802
lmjm_0.4_rocchio	35	50	1	25	0.2805
lmjm_0.4_rocchio	35	50	1	30	0.2819
lmjm_0.4_rocchio	35	50	1	35	0.2819
lmjm_0.4_rocchio	35	50	1	40	0.2819
lmjm_0.4_rocchio	35	50	1	45	0.2808
lmjm_0.4_rocchio	35	50	1	50	0.2802
lmjm_0.4_rocchio	35	50	1	55	0.2801
lmjm_0.4_rocchio	35	50	1	60	0.2795
lmjm_0.4_rocchio	35	50	1	70	0.2788
lmjm_0.4_rocchio	35	120	1	10	0.2822
lmjm_0.4_rocchio	35	120	1	20	0.283
lmjm_0.4_rocchio	35	120	1	25	0.2828
lmjm_0.4_rocchio	35	120	1	30	0.2825
lmjm_0.4_rocchio	35	120	1	35	0.282
lmjm_0.4_rocchio	35	120	1	40	0.2815
lmjm_0.4_rocchio	35	120	1	45	0.2806
lmjm_0.4_rocchio	35	120	1	50	0.2802
lmjm_0.4_rocchio	35	120	1	55	0.2801
lmjm_0.4_rocchio	35	120	1	60	0.2792
lmjm_0.4_rocchio	35	120	1	70	0.2777
lmjm_0.4_rocchio	35	120	1	8	0.2799
lmjm_0.4_rocchio	35	120	1	5	0.2735
lmjm_0.4_rocchio	35	120	1	2	0.2544
lmjm_0.4_rocchio	35	120	1	1	0.2437
lmjm_0.4_rocchio	35	120	1	15	0.2814
